,pos,smote,pos-smote
AGE,0.0,0.0,0.0
GENDER,0.0,0.0,0.0
D_7373_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7803_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7809_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7840_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7865_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7931_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4659_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7194_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7245_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V048_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V761_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2420_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2429_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2449_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2724_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4011_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4019_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5308_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7295_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7298_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V588_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7225_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7242_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7862_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3000_AVG_CLAIM_CNT,0.0,0.0,0.0
D_496__AVG_CLAIM_CNT,0.0,0.0,0.0
D_5188_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5990_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7291_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7806_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7807_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7860_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7879_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7890_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V723_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2689_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7288_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V586_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2500_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2720_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2859_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4010_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4660_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7062_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V700_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V726_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5640_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7021_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7231_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7805_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7820_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4939_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7812_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5859_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7821_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7883_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2962_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4932_AVG_CLAIM_CNT,0.0,0.0,0.0
D_462__AVG_CLAIM_CNT,0.0,0.0,0.0
D_8450_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4280_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5641_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7802_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2765_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2767_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3449_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5856_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7804_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7943_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3382_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V032_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V037_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V039_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V040_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V045_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V050_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V051_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V053_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V054_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V058_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V059_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V060_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V062_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V063_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V064_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V065_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V066_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V068_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V069_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2768_AVG_CLAIM_CNT,0.0,0.0,0.0
D_9597_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4359_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V202_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V741_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7020_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4556_AVG_CLAIM_CNT,0.0,0.0,0.0
D_2572_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5853_AVG_CLAIM_CNT,0.0,0.0,0.0
D_6927_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7230_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7870_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7850_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4278_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3339_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3483_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7819_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7845_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3275_AVG_CLAIM_CNT,0.0,0.0,0.0
D_5589_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3098_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7810_AVG_CLAIM_CNT,0.0,0.0,0.0
D_7873_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4349_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4371_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3579_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3331_AVG_CLAIM_CNT,0.0,0.0,0.0
D_V270_AVG_CLAIM_CNT,0.0,0.0,0.0
D_4107_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3441_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3599_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3332_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3591_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3592_AVG_CLAIM_CNT,0.0,0.0,0.0
D_3590_AVG_CLAIM_CNT,0.0,0.0,0.0
G_012000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_034000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_040000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_050000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_160000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_221000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_272500_AVG_CLAIM_CNT,0.0,0.0,0.0
G_340000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_394000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_442010_AVG_CLAIM_CNT,0.0,0.0,0.0
G_469920_AVG_CLAIM_CNT,0.0,0.0,0.0
G_492700_AVG_CLAIM_CNT,0.0,0.0,0.0
G_530000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_581800_AVG_CLAIM_CNT,0.0,0.0,0.0
G_651000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_659900_AVG_CLAIM_CNT,0.0,0.0,0.0
G_659917_AVG_CLAIM_CNT,0.0,0.0,0.0
G_721000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_726000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_751000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_879910_AVG_CLAIM_CNT,0.0,0.0,0.0
G_021000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_661000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_283000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_372000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_375000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_114070_AVG_CLAIM_CNT,0.0,0.0,0.0
G_171000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_369918_AVG_CLAIM_CNT,0.0,0.0,0.0
G_019900_AVG_CLAIM_CNT,0.0,0.0,0.0
G_169900_AVG_CLAIM_CNT,0.0,0.0,0.0
G_361000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_568510_AVG_CLAIM_CNT,0.0,0.0,0.0
G_905500_AVG_CLAIM_CNT,0.0,0.0,0.0
G_332000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_571000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_581600_AVG_CLAIM_CNT,0.0,0.0,0.0
G_797000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_035000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_422000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_439970_AVG_CLAIM_CNT,0.0,0.0,0.0
G_414000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_445050_AVG_CLAIM_CNT,0.0,0.0,0.0
G_502500_AVG_CLAIM_CNT,0.0,0.0,0.0
G_674060_AVG_CLAIM_CNT,0.0,0.0,0.0
G_614000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_491030_AVG_CLAIM_CNT,0.0,0.0,0.0
G_259900_AVG_CLAIM_CNT,0.0,0.0,0.0
G_300420_AVG_CLAIM_CNT,0.0,0.0,0.0
G_879920_AVG_CLAIM_CNT,0.0,0.0,0.0
G_722000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_423000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_371000_AVG_CLAIM_CNT,0.0,0.0,0.0
G_352000_AVG_CLAIM_CNT,0.0,0.0,0.0
P_70450_AVG_CLAIM_CNT,0.0,0.0,0.0
P_71010_AVG_CLAIM_CNT,0.0,0.0,0.0
P_72100_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93010_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99284_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99285_AVG_CLAIM_CNT,0.0,0.0,0.0
P_A0425_AVG_CLAIM_CNT,0.0,0.0,0.0
P_A0427_AVG_CLAIM_CNT,0.0,0.0,0.0
P_73610_AVG_CLAIM_CNT,0.0,0.0,0.0
P_77052_AVG_CLAIM_CNT,0.0,0.0,0.0
P_90471_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99203_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99213_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99214_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99223_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99239_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G0202_AVG_CLAIM_CNT,0.0,0.0,0.0
P_36415_AVG_CLAIM_CNT,0.0,0.0,0.0
P_70551_AVG_CLAIM_CNT,0.0,0.0,0.0
P_88313_AVG_CLAIM_CNT,0.0,0.0,0.0
P_92012_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93000_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93306_AVG_CLAIM_CNT,0.0,0.0,0.0
P_94760_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99204_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99215_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99233_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99283_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G8553_AVG_CLAIM_CNT,0.0,0.0,0.0
P_71020_AVG_CLAIM_CNT,0.0,0.0,0.0
P_73130_AVG_CLAIM_CNT,0.0,0.0,0.0
P_80053_AVG_CLAIM_CNT,0.0,0.0,0.0
P_83735_AVG_CLAIM_CNT,0.0,0.0,0.0
P_85025_AVG_CLAIM_CNT,0.0,0.0,0.0
P_94010_AVG_CLAIM_CNT,0.0,0.0,0.0
P_97001_AVG_CLAIM_CNT,0.0,0.0,0.0
P_97110_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99205_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G0008_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G8427_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G8978_AVG_CLAIM_CNT,0.0,0.0,0.0
P_G8979_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93042_AVG_CLAIM_CNT,0.0,0.0,0.0
P_97014_AVG_CLAIM_CNT,0.0,0.0,0.0
P_97140_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99202_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99220_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99231_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99232_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99238_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99244_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99291_AVG_CLAIM_CNT,0.0,0.0,0.0
P_92015_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99396_AVG_CLAIM_CNT,0.0,0.0,0.0
P_80048_AVG_CLAIM_CNT,0.0,0.0,0.0
P_80061_AVG_CLAIM_CNT,0.0,0.0,0.0
P_82607_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84443_AVG_CLAIM_CNT,0.0,0.0,0.0
P_90472_AVG_CLAIM_CNT,0.0,0.0,0.0
P_90715_AVG_CLAIM_CNT,0.0,0.0,0.0
P_96372_AVG_CLAIM_CNT,0.0,0.0,0.0
P_31575_AVG_CLAIM_CNT,0.0,0.0,0.0
P_51798_AVG_CLAIM_CNT,0.0,0.0,0.0
P_70553_AVG_CLAIM_CNT,0.0,0.0,0.0
P_76700_AVG_CLAIM_CNT,0.0,0.0,0.0
P_76942_AVG_CLAIM_CNT,0.0,0.0,0.0
P_81003_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99212_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99243_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99245_AVG_CLAIM_CNT,0.0,0.0,0.0
P_72141_AVG_CLAIM_CNT,0.0,0.0,0.0
P_85652_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93880_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99222_AVG_CLAIM_CNT,0.0,0.0,0.0
P_80050_AVG_CLAIM_CNT,0.0,0.0,0.0
P_81025_AVG_CLAIM_CNT,0.0,0.0,0.0
P_86580_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99420_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84165_AVG_CLAIM_CNT,0.0,0.0,0.0
P_72148_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99254_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84439_AVG_CLAIM_CNT,0.0,0.0,0.0
P_90686_AVG_CLAIM_CNT,0.0,0.0,0.0
P_17000_AVG_CLAIM_CNT,0.0,0.0,0.0
P_85018_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95811_AVG_CLAIM_CNT,0.0,0.0,0.0
P_82962_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84550_AVG_CLAIM_CNT,0.0,0.0,0.0
